,Question,Actual Answer,Student Answer,Accuracy
0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,You could tell if it has the hardest if most of it came off.,0.0
1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If just the penny could scratch and the nickel could not the penny is harder.,4.95
2,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Whichever one was damaged most was less hard.,4.95
3,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Rub them against a crystal.,0.0
4,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Which had less scratches.,4.95
5,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If it makes a scratch or a little dent.,0.0
6,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Well she can take the penny and the nickel and rub them together.,0.0
7,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The one that is scratched is softer.,4.95
8,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,She could tell which is harder by getting a rock and seeing if the penny or nickel would scratch it. Whichever one does is harder.,0.0
9,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Maybe he should scratch even other then when you are done see if one have scratches.,0.0
10,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,It would tell her because she could scratch the penny on the nickel and the nickel on the penny and see which one is scratched.,0.0
11,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,"In order to tell which is harder, else would have to see if the penny and nickel leave a mark to see which is harder.",4.95
12,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,By the one that leave a mark on one. That means that that one is harder.,4.95
13,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The one that got scratch each penny or a nickel got scratch.,0.0
14,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,She can scratch it and see which one scratch the rock or mineral.,0.0
15,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If the penny gets scratched the nickel is harder and if the nickel gets scratched then the penny is harder.,4.95
16,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The nickel is the hardest because is you scratch it with a penny it will not scratch but the nickel could because it is so much.,4.95
17,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,You get a penny or a nickel if one of them scratches the metal it is hard.,4.95
18,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,She would know because the one that is scratched is the one that is least hard and the one that is not scratched is the one that is hardest.,4.95
19,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,"How you would know that one of them is harder is for say if the nickel never a scratch the penny, and the penny got scratch by the nickel then the nickel would be harder than the penny that is how you would which one is harder.",4.95
20,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The one that got a scratch is not hard.,4.95
21,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,A paperclip is harder.,0.0
22,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The one that is harder will scratch the less harder one.,4.95
23,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,I do not know.,0.0
24,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Fire.,0.0
25,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The nickel because it is bigger and it harder.,0.0
26,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,By using your hand.,0.0
27,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,If it left a scratch.,4.95
28,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,I do not know.,0.0
29,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,The nickel is the heavier and the penny is the lighter.,0.0
30,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,You can rub the penny and the nickel together. The one with the mark and a scratch is the least hardest the one with no mark or scratch is the hardest.,4.95
31,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Because of it he you scratch with a penny.,0.0
32,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Rub them together and whichever one has a scratch or a mark the is softer and the one that has nothing on it is harder.,4.95
33,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Rub to penny with nickel and whichever one had a scratch is some.,4.95
34,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,She would scratch the rocks together the one that scratches is softer.,4.95
35,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.,Nickel is harder.,0.0
36,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,You can see through it.,0.0
37,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,"It is one material that dissolves into the other. Making a clear mixture. Although it could be colored, it has to be see through.",4.95
38,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,It is a clear mixture.,0.0
39,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,It dissolves the solid into a liquid that is see through.,4.95
40,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,It has to be a fairly clear.,0.0
41,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is a solid and a liquid mixed together.,0.0
42,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,In a solution one of the materials dissolves and the mixture is see through.,4.95
43,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is different because a solution is a mixture of a solid material and a liquid.,0.0
44,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,Because 2 mixtures become a solution. A solution is different because mixture cannot become a solution only 2 can.,0.0
45,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,The difference from other mixtures was that we only used 2 and other people might use 3 or 4.,0.0
46,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,"A solution is when you take a mixture like powder and mix it with water then after stirring it, it becomes a solution.",4.95
47,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,"Because it is made of 2 mixtures, and making it one mixture and becoming a solution of 2 mixtures.",0.0
48,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is 2 materials put together and the one dissolves. And on a mixture they stay so you can see it.,0.0
49,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,It is different because in other mixtures the liquid dissolves but in a solution the solid material dissolves.,0.0
50,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is different from a mixture because it is when you mix 2 or more things and a solution is when like water and salt dissolves or evaporated.,0.0
51,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,When you make solution tiny particles of the solid explained some cannot see it.,0.0
52,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,The solid material dissolves.,0.0
53,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is a different type of mixture. Then they are a solution is a mixtures that dissolves.,0.0
54,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,The salt dissolved in the mixture.,0.0
55,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution something that dissolves.,0.0
56,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is something that dissolves into the liquid and a mixture is something mixed up together.,4.95
57,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,When the mixture is mixed.,0.0
58,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution does not dissolve.,0.0
59,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,Other mixtures are mixed with peas and tomatoes and other foods.,0.0
60,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is when an object disappears in the liquid and in a mixture the object does not disappear.,4.95
61,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is something put into a liquid and made one thing.,0.0
62,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,In a solution one material dissolves into the liquid.,4.95
63,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,Solutions are clear.,0.0
64,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,Clear and 2 things that make it still clear.,0.0
65,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is different because it is clear that you can see through.,0.0
66,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,A solution is separated but a mixture is a bunched up together.,0.0
67,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,Because a solution is clear but other mixtures are not.,0.0
68,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,It has and weighs more with more things in it than a solution.,0.0
69,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,Because one of the chemicals dissolves.,0.0
70,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,The solid must dissolve.,4.95
71,A solution is a type of mixture. What makes it different from other mixtures?,A solution is a mixture formed when a solid dissolves in a liquid.,They have a different type of them that they have different ideas.,0.0
72,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",If you get it right it will not have much Frequency.,0.0
73,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",If the strings were tightened it would make a high sound.,4.95
74,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It was soft then it got louder.,0.0
75,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",Because there is more tension so the vibrations go faster.,4.95
76,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It goes higher.,4.95
77,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The string is lower when you tightened it.,0.0
78,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It was a high pitch when she hit the string when it was not holding down the string it was a lower sound.,4.95
79,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It was louder Because she made more tension.,0.0
80,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The string had a higher pitch.,4.95
81,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It would make a High sound.,4.95
82,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It was higher.,4.95
83,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It would either make the pitch higher or lower.,0.0
84,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The pitch higher so it was more of a ding than a bring.,4.95
85,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",Lower because if you pull on the string it is lower.,0.0
86,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When you tighten it it makes a higher pitched.,4.95
87,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",Well when it is tightened you can not pull it that far so it makes a different sound.,0.0
88,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It is lower pitch when it is tighten so if it is looser then it is high pitch.,0.0
89,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It got high pitch and lower volume.,4.95
90,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When you tighten it up it would sound different.,0.0
91,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The string was tighter.,0.0
92,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",I know that it is a low pitch.,0.0
93,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It would be a low pitch.,0.0
94,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It will be louder.,0.0
95,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The string makes a low pitch.,0.0
96,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When the string is tightened the string comes more out of the guitar part so the string in the guitar part is smaller so the pitch it higher.,0.0
97,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When she tightened the string there was a higher pitch.,4.95
98,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.","When the string is tightened, the pitch is higher not lower.",4.95
99,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The string made a higher pitch because it made it stop earlier which makes a higher pitch.,0.0
100,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When you make it long it make it low sound when you make it short it a height sound.,0.0
101,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When it was loose the sound was soft but when it was tighten it is low.,0.0
102,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The string was higher pitch because it had more tension.,4.95
103,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The tighter the string the higher it gets.,4.95
104,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",When she make the the loose it get the sound lower.,4.95
105,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",The pitch is higher.,4.95
106,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",It was louder because the string was tighter.,0.0
107,Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.,"When the string was tighter, the pitch was higher.",By moving her finger.,0.0
